"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","Chil3",4.50407485763095e-262,1.97832976751615,0.743,0.178,1.45414056778615e-257
"2","Lyz2",2.36123283660697e-247,1.24690777728849,0.998,0.969,7.6232402129856e-243
"3","Mgst1",3.3089597269589e-217,1.1865682849824,0.867,0.392,1.06829764784868e-212
"4","Apoc2",3.45373168603494e-215,1.32608722730759,0.916,0.525,1.11503727483638e-210
"5","Cd81",9.29863680442467e-191,-2.79278462698689,0.299,0.69,3.0020648923085e-186
"6","Sparc",4.80566459225491e-167,-2.41004351241007,0.137,0.534,1.5515088136095e-162
"7","Ly6c2",2.31728673690617e-164,1.2125378883541,0.907,0.521,7.48136023010156e-160
"8","Saa3",4.29372745276424e-162,1.63490224311956,0.785,0.375,1.38622990812493e-157
"9","Arg1",5.02071059460714e-162,1.5151853102537,0.797,0.377,1.62093641546892e-157
"10","Prdx5",2.17091814265487e-159,0.844521993381936,0.989,0.926,7.00880922356125e-155
"11","Fn1",3.40982124779376e-153,1.01372348078051,0.866,0.513,1.10086078985022e-148
"12","Msrb1",1.99280021296979e-152,0.848172872113971,0.957,0.68,6.43375548757297e-148
"13","Pla2g7",7.60217576889455e-148,0.829593523624665,0.926,0.554,2.45436244698761e-143
"14","Ftl1",4.73551222218424e-147,0.669097313198426,1,0.992,1.52886012093218e-142
"15","Apoe",2.39643904482156e-145,0.990393342547171,0.998,0.975,7.73690345620639e-141
"16","Lgals3",4.6302359854857e-145,0.89623967063693,0.974,0.811,1.49487168791406e-140
"17","Cst3",8.69673302158622e-142,-1.73689482665111,0.991,0.985,2.80774025601911e-137
"18","Hp",1.79053864241162e-141,1.09127498273009,0.741,0.332,5.78075400702591e-137
"19","S100a8",2.51428507276121e-140,2.73354788762673,0.597,0.184,8.11736935740956e-136
"20","Siglech",6.06360291950254e-135,-1.21700811210234,0.066,0.403,1.9576342025614e-130
"21","F10",6.49107380362688e-133,0.839597369641224,0.823,0.404,2.09564317750094e-128
"22","F13a1",1.09671480241444e-128,0.749262157105528,0.545,0.158,3.54074373959503e-124
"23","Cstb",3.72199655672026e-128,0.771271203542943,0.976,0.885,1.20164658833714e-123
"24","Fth1",1.87255564809089e-126,0.712378315133776,1,1,6.04554590986144e-122
"25","Ier3",6.85247389479043e-125,0.979186106334767,0.831,0.5,2.21232119693309e-120
"26","Cxcl2",1.23559807647242e-123,1.16337087058945,0.872,0.569,3.98912838989121e-119
"27","Aprt",3.56464990180261e-123,0.722955093984676,0.869,0.577,1.15084722079697e-118
"28","Clec4d",4.73434657222987e-122,0.773012667112922,0.763,0.373,1.52848379084441e-117
"29","Wfdc17",2.40991846429747e-121,1.07045692598862,0.874,0.551,7.78042176198439e-117
"30","Cst7",4.84497009031769e-121,-1.47006776449525,0.176,0.496,1.56419859365907e-116
"31","Lgals1",1.47115151112795e-120,0.729387286778055,0.904,0.616,4.74961265367659e-116
"32","Lag3",3.32627670466305e-120,-1.0169142840963,0.044,0.346,1.07388843410046e-115
"33","Tgfbi",4.17658470261977e-119,0.733467933269127,0.964,0.696,1.34841037124079e-114
"34","Clec12a",1.31066102044567e-115,0.664625062652792,0.827,0.435,4.23146910450883e-111
"35","Grina",2.8486987512397e-114,0.759402101813695,0.921,0.71,9.19702391837736e-110
"36","Tnfsf13",7.06593051045681e-112,0.616232256566466,0.626,0.245,2.28123566530098e-107
"37","Thbs1",1.24588177484832e-111,0.735357619128295,0.509,0.155,4.0223293100978e-107
"38","Hexb",3.19044184932251e-111,-2.28950677002753,0.9,0.916,1.03003415105377e-106
"39","Ckb",2.43350099118366e-109,-1.14028982147921,0.167,0.47,7.85655795003645e-105
"40","Ms4a6c",6.23890791937922e-109,0.650736493682762,0.953,0.784,2.01423142177158e-104
"41","Cebpb",9.84962918035175e-109,0.645840608400219,0.986,0.909,3.17995278087656e-104
"42","Selplg",3.80220077192385e-108,-1.10721976491122,0.753,0.81,1.22754051921561e-103
"43","Ms4a6d",9.86229388023767e-108,0.646197171242732,0.929,0.689,3.18404157923473e-103
"44","Fos",1.01345650485546e-106,0.720642754190644,0.967,0.802,3.27194432592585e-102
"45","Vim",8.96908140686667e-106,0.686496763110696,0.963,0.731,2.89566793220691e-101
"46","Prdx6",1.16242324471607e-103,0.75530297419505,0.897,0.638,3.75288344556582e-99
"47","Sem1",1.34791605833029e-103,0.480556339832263,0.982,0.907,4.35174699431935e-99
"48","Slpi",1.69234583297416e-101,0.845054206679785,0.468,0.138,5.46373852175709e-97
"49","Cd72",5.51958414705356e-101,-1.08342020784864,0.135,0.425,1.78199774187624e-96
"50","Ccl12",1.49809563656709e-100,-2.05682475103519,0.206,0.498,4.83660176265684e-96
"51","Slco2b1",1.72238918566599e-100,-0.761699571302343,0.053,0.319,5.56073348592265e-96
"52","Cd34",5.82187560074959e-100,-0.74669753692919,0.049,0.314,1.87959253770201e-95
"53","Capg",3.09934381175641e-99,0.611561514142296,0.944,0.761,1.00062314962556e-94
"54","Sirpb1c",6.06881860199954e-99,0.552955863508793,0.868,0.481,1.95931808565555e-94
"55","Cadm1",2.06797649211599e-98,-0.724475703836203,0.048,0.309,6.67646210479648e-94
"56","C1qa",7.81083481315559e-98,-1.75370516534604,0.799,0.918,2.52172801942728e-93
"57","Emp3",4.59952099655724e-97,0.555572171474259,0.945,0.739,1.48495535373851e-92
"58","Klra2",1.22053444817841e-96,0.605695613371293,0.79,0.414,3.94049546594398e-92
"59","Smpdl3a",7.11876394077198e-96,0.639550979577386,0.812,0.472,2.29829293827823e-91
"60","Plxdc2",9.20008543032106e-95,-0.749334867670091,0.059,0.32,2.97024758117915e-90
"61","Olfml3",1.19434990567562e-93,-1.67822805625479,0.35,0.57,3.85595867047375e-89
"62","Ms4a7",4.95643201413961e-93,0.79598741599188,0.644,0.3,1.60018407576497e-88
"63","Sash1",1.06507386783611e-91,0.513449657147809,0.58,0.24,3.43859098230889e-87
"64","Aldoa",2.36012010859908e-91,0.511740002662039,0.981,0.931,7.61964777061213e-87
"65","Gm11808",3.34043986217159e-90,-0.588877090749022,0.836,0.88,1.0784610095021e-85
"66","Gpr34",4.34028290606018e-90,-0.799923256413053,0.051,0.298,1.40126033622153e-85
"67","Ly6i",5.45085814928489e-90,0.694318581515774,0.942,0.713,1.75980955349663e-85
"68","Dusp1",4.73645746923166e-89,0.6668031684798,0.945,0.772,1.52916529394144e-84
"69","Ly86",8.27569203644813e-89,-1.87982809947022,0.848,0.851,2.67180717396728e-84
"70","Msr1",2.30949604979495e-88,0.530761716823635,0.623,0.28,7.45620799676299e-84
"71","Mif",7.81081687702172e-88,0.534848095446446,0.965,0.876,2.52172222874646e-83
"72","Cfb",1.91393735176092e-87,0.652712432813805,0.919,0.661,6.17914674016012e-83
"73","Cd36",4.86610181706459e-87,-0.807822675485361,0.093,0.351,1.5710209716393e-82
"74","Pid1",8.53935606017539e-87,0.576739419331192,0.875,0.563,2.75693110402763e-82
"75","Adssl1",3.50693027877574e-86,0.523751409089037,0.708,0.359,1.13221244050275e-81
"76","Serinc3",3.51348790602522e-86,-0.980542638475562,0.88,0.876,1.13432957046024e-81
"77","Gm21188",3.94614635112914e-86,0.508762294745027,0.693,0.336,1.27401334946204e-81
"78","Ninj1",5.12241323730205e-86,0.637340208864233,0.871,0.616,1.65377111366297e-81
"79","Slc7a2",7.14425824444342e-86,0.565500745567201,0.558,0.235,2.30652377421856e-81
"80","Txn1",9.44065878532691e-85,0.520198607429266,0.975,0.874,3.04791668884279e-80
"81","Lst1",9.84274482362041e-85,0.601363977440946,0.949,0.774,3.17773016630585e-80
"82","Plaur",2.08850154460219e-84,0.594575091445271,0.789,0.473,6.74272723674818e-80
"83","Fabp5",9.59529940395644e-84,1.06838471987242,0.59,0.28,3.09784241256734e-79
"84","Serpine2",1.21041927875101e-83,-0.717608212279441,0.044,0.275,3.90783864144765e-79
